source,code,name,unit
worldbank,SP.DYN.TFRT.IN,"Fertility rate, total (births per woman)",
worldbank,SP.ADO.TFRT,"Adolescent fertility rate (births per 1,000 women ages 15-19)",
worldbank,SH.STA.MMRT.NE,"Maternal mortality ratio (per 100,000 live births)",
worldbank,SL.TLF.CACT.FE.ZS,"Labor force participation rate, female (%)",
worldbank,NY.GDP.PCAP.CD,GDP per capita (current US$),
worldbank,SP.URB.TOTL.IN.ZS,Urban population (% of total),
worldbank,SE.SEC.ENRR.FE,"School enrollment, secondary, female (%)",
worldbank,SH.XPD.CHEX.GD.ZS,Current health expenditure (% of GDP),
un,UN_18,Mean age of childbearing (5-year),
un,UN_67,Median age of population,
un,UN_50,Population Change,
un,UN_4,Unmet need for family planning: Any method (Percent),
un,UN_2,Contraceptive prevalence: Any modern method (Percent),
un,UN_86,Total dependency ratio,
un,UN_83,Child dependency ratio,
un,UN_41,Female population of reproductive age (15-49 years),
un,UN_66,Crude rate of net migration,
