type,country_iso3,year,prev_value,value,delta
drop,CYM,1973,4.887,3.562,-1.3249999999999997
drop,CYM,1971,4.662,3.465,-1.197
drop,MNG,1993,3.5,2.5,-1.0
drop,CHN,1964,7.513,6.672,-0.8410000000000002
drop,MUS,1967,5.46,4.626,-0.8339999999999996
drop,VNM,1961,6.273,5.476,-0.7969999999999997
drop,KHM,1974,5.559,4.797,-0.7620000000000005
drop,TJK,1996,4.664,3.94,-0.7239999999999998
drop,GRL,1969,4.928,4.209,-0.7190000000000003
drop,KHM,1975,4.797,4.103,-0.694
drop,KHM,1976,4.103,3.409,-0.694
drop,KHM,1977,3.409,2.716,-0.6929999999999996
drop,GRL,1970,4.209,3.541,-0.6679999999999997
drop,SYC,1976,4.752,4.086,-0.6659999999999995
drop,VIR,1966,5.64,4.993,-0.6469999999999994
drop,MUS,1969,4.596,3.965,-0.6310000000000002
drop,TEA,1964,7.12062734188243,6.4956967595558,-0.6249305823266296
drop,GRL,1968,5.545,4.928,-0.617
drop,EAP,1964,7.05774484680061,6.44237102606128,-0.6153738207393298
drop,XKX,1992,3.373,2.765,-0.6080000000000001
drop,CYM,1974,3.562,2.958,-0.6039999999999996
drop,KWT,2022,2.148,1.546,-0.6020000000000001
drop,CHN,1975,4.17,3.571,-0.5989999999999998
drop,VGB,1981,2.924,2.334,-0.5899999999999999
drop,CHN,1961,4.451,3.863,-0.5879999999999996
drop,CYP,1973,2.988,2.403,-0.585
drop,CHN,1991,2.514,1.934,-0.5799999999999998
drop,CHN,1971,6.085,5.523,-0.5620000000000003
drop,MNP,1998,2.245,1.685,-0.56
drop,JPN,1966,2.14,1.58,-0.56
drop,CHN,1974,4.726,4.17,-0.556
drop,BRB,1961,4.706,4.153,-0.5530000000000008
drop,SGP,1967,4.46,3.91,-0.5499999999999998
drop,VIR,1973,4.78,4.231,-0.5490000000000004
drop,BRB,1967,4.144,3.599,-0.5449999999999999
drop,PRK,1973,3.889,3.353,-0.5359999999999996
drop,SYC,1982,3.665,3.131,-0.5340000000000003
drop,SYC,1972,5.689,5.155,-0.5339999999999998
drop,EAS,1964,6.38844597578321,5.86395908828366,-0.5244868874995499
drop,YEM,1996,7.525,7.004,-0.5210000000000008
drop,LTE,1964,6.10855562254805,5.58847747349864,-0.52007814904941
drop,CHN,1967,6.307,5.806,-0.5010000000000003
drop,MNG,1992,4.0,3.5,-0.5
drop,MNG,1991,4.5,4.0,-0.5
drop,MNP,1996,3.077,2.588,-0.4889999999999999
drop,VGB,1998,2.009,1.523,-0.486
drop,GRL,1967,6.031,5.545,-0.48599999999999977
drop,ARE,1995,3.761,3.278,-0.4830000000000001
drop,KHM,1997,4.867,4.395,-0.4720000000000004
drop,CYM,1969,3.992,3.522,-0.4700000000000002
drop,IRN,1992,4.568,4.099,-0.4689999999999994
drop,TEA,1975,4.44685286878701,3.97793766819611,-0.4689152005909003
drop,EAP,1975,4.42622678163375,3.96321575761353,-0.4630110240202203
drop,HKG,1966,4.923,4.464,-0.45899999999999963
drop,TEA,1974,4.9052555401121,4.44685286878701,-0.45840267132509016
drop,TEA,1961,4.85337152270027,4.39766293016726,-0.45570859253300977
drop,EAP,1974,4.88069511487259,4.42622678163375,-0.4544683332388395
drop,EAP,1961,4.83110181718473,4.37755549899838,-0.4535463181863504
drop,SYC,2022,2.46,2.01,-0.4500000000000002
drop,MUS,1965,5.956,5.508,-0.4480000000000004
drop,VIR,1995,3.682,3.237,-0.44499999999999984
drop,ROU,1969,3.63,3.19,-0.43999999999999995
drop,SGP,1974,2.79,2.35,-0.43999999999999995
drop,TEA,1971,5.98242161946572,5.54375383050301,-0.43866778896270997
drop,TEA,1991,2.73655247839245,2.30006860620803,-0.4364838721844202
drop,PLW,1977,4.526,4.09,-0.43599999999999994
drop,DMA,1974,4.275,3.842,-0.4330000000000003
drop,MDV,1996,4.292,3.859,-0.43299999999999983
drop,EAP,1971,5.94760452521829,5.51474525695755,-0.4328592682607404
drop,EAP,1991,2.73172329262826,2.30075145434288,-0.43097183828537977
drop,KOR,1976,3.43,3.0,-0.43000000000000016
drop,IRN,1994,3.674,3.244,-0.4299999999999997
drop,DZA,1995,3.914,3.487,-0.42700000000000005
drop,GUM,1967,5.072,4.646,-0.42600000000000016
drop,IRN,1993,4.099,3.674,-0.42500000000000027
drop,EAS,1975,4.14161342578447,3.72018111972918,-0.42143230605529025
drop,GIB,1967,3.604,3.183,-0.42100000000000026
drop,GIB,2002,2.104,1.683,-0.42100000000000004
drop,KOR,1972,4.54,4.12,-0.41999999999999993
drop,PRI,1964,4.525,4.108,-0.4170000000000007
drop,CHN,1983,2.972,2.559,-0.4129999999999998
drop,CHN,1972,5.523,5.112,-0.4109999999999996
drop,ISL,1961,4.29,3.88,-0.41000000000000014
drop,MAC,1968,3.014,2.608,-0.4059999999999997
drop,MNP,1977,5.234,4.829,-0.40500000000000025
drop,EAS,1974,4.54617826928571,4.14161342578447,-0.4045648435012392
drop,MNP,1980,4.047,3.647,-0.3999999999999999
drop,MNG,2010,2.8,2.4,-0.3999999999999999
drop,DMA,1973,4.671,4.275,-0.3959999999999999
drop,MDV,1995,4.688,4.292,-0.3959999999999999
drop,MNP,1975,6.02,5.625,-0.3949999999999996
drop,MNP,1978,4.829,4.434,-0.3949999999999996
drop,LTE,1991,2.54996016312967,2.15513493930988,-0.39482522381979024
drop,EAS,1961,4.552018956377,4.15886057355196,-0.3931583828250398
drop,IRN,1995,3.244,2.852,-0.39200000000000035
drop,CHN,1977,3.235,2.844,-0.391
drop,MNP,1976,5.625,5.234,-0.391
drop,DZA,1986,6.035,5.645,-0.39000000000000057
drop,ROU,1990,2.22,1.83,-0.3900000000000001
drop,MNP,1981,3.647,3.258,-0.3889999999999998
grow,CHN,1962,3.863,6.085,2.222
grow,MNP,1968,5.701,7.741,2.04
grow,ROU,1967,1.9,3.66,1.7600000000000002
grow,TEA,1962,4.39766293016726,6.06600697258066,1.6683440424134002
grow,EAP,1962,4.37755549899838,6.01855126399584,1.6409957649974602
grow,CHN,1963,6.085,7.513,1.428
grow,CYM,1972,3.465,4.887,1.4219999999999997
grow,EAS,1962,4.15886057355196,5.52664149337645,1.3677809198244892
grow,LTE,1962,3.9956223556304,5.28894284909649,1.2933204934660898
grow,KHM,1980,4.556,5.774,1.218
grow,KHM,1979,3.338,4.556,1.218
grow,IRQ,1962,5.8,6.991,1.1909999999999998
grow,CYM,1970,3.522,4.662,1.1400000000000001
grow,TEA,1963,6.06600697258066,7.12062734188243,1.0546203693017695
grow,EAP,1963,6.01855126399584,7.05774484680061,1.0391935828047698
grow,EAS,1963,5.52664149337645,6.38844597578321,0.8618044824067601
grow,LTE,1963,5.28894284909649,6.10855562254805,0.8196127734515608
grow,VNM,1962,5.476,6.257,0.7809999999999997
grow,IBD,1962,4.76035280865593,5.51006816456136,0.7497153559054297
grow,MIC,1962,5.24092066632468,5.98007458661264,0.7391539202879605
grow,CHN,1968,5.806,6.508,0.702
grow,LMY,1962,5.30780731829546,6.00616473174695,0.6983574134514905
grow,JPN,1967,1.58,2.23,0.6499999999999999
